                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.80218,                0.51302,                0.98988,                0.90614,                0.70995,                0.86586,                0.45118,                      0,                    inf,                      0,              0.0069475,              0.0069475,              0.0069475
                     39,                0.78923,                0.49891,                 1.0031,                0.86299,                0.83371,                0.85198,                 0.4461,                      0,                    inf,                      0,               0.006865,               0.006865,               0.006865
                     40,                0.78072,                0.49388,                0.98528,                0.82032,                0.80572,                0.86059,                0.44903,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     41,                0.77428,                0.48495,                0.96472,                0.91285,                0.77026,                0.90598,                0.48504,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                     42,                0.75997,                0.48513,                0.96241,                0.93724,                0.77941,                0.86646,                0.43227,                      0,                    inf,                      0,              0.0066175,              0.0066175,              0.0066175
                     43,                 0.7945,                0.49368,                0.96906,                0.87698,                0.80882,                0.89124,                0.45785,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     44,                0.78778,                0.49633,                0.96926,                0.86594,                0.77941,                0.82046,                0.46366,                      0,                    inf,                      0,              0.0064525,              0.0064525,              0.0064525
                     45,                 0.7598,                 0.4918,                0.98149,                 0.8235,                0.82353,                0.83065,                0.46343,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                     46,                0.74365,                 0.4663,                0.95765,                0.86996,                0.78714,                0.86274,                 0.4741,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     47,                0.73795,                0.46861,                0.95708,                0.91644,                0.80649,                0.89519,                0.48827,                      0,                    inf,                      0,               0.006205,               0.006205,               0.006205
                     48,                0.70834,                0.45189,                0.94609,                0.82273,                0.81904,                0.87214,                 0.4994,                      0,                    inf,                      0,              0.0061225,              0.0061225,              0.0061225
                     49,                0.71477,                0.46033,                0.95089,                0.84164,                0.86765,                 0.8815,                0.51119,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     50,                0.69241,                0.44537,                0.95056,                  0.895,                   0.75,                0.88785,                0.52494,                      0,                    inf,                      0,              0.0059575,              0.0059575,              0.0059575
                     51,                0.67188,                0.44467,                0.93477,                0.82835,                0.85294,                0.85361,                0.50817,                      0,                    inf,                      0,               0.005875,               0.005875,               0.005875
                     52,                0.66731,                0.43881,                0.93328,                0.86887,                0.79412,                 0.8888,                0.51722,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     53,                0.65949,                0.42777,                0.93841,                0.90465,                0.83712,                0.91035,                0.51459,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                     54,                0.67484,                0.44387,                0.93723,                0.95068,                 0.8505,                0.92088,                0.50703,                      0,                    inf,                      0,              0.0056275,              0.0056275,              0.0056275
                     55,                0.62984,                0.39558,                0.91405,                0.88939,                0.85294,                0.89558,                0.49962,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     56,                0.63053,                0.40714,                0.91886,                0.91144,                0.80882,                 0.8811,                  0.491,                      0,                    inf,                      0,              0.0054625,              0.0054625,              0.0054625
                     57,                 0.6416,                0.40739,                0.91781,                0.91184,                 0.7606,                0.85954,                 0.4825,                      0,                    inf,                      0,                0.00538,                0.00538,                0.00538
                     58,                0.62612,                0.41254,                0.92022,                0.91043,                0.74746,                0.83447,                0.48562,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     59,                0.62412,                0.40182,                0.91891,                0.88307,                0.77746,                0.86401,                0.49686,                      0,                    inf,                      0,               0.005215,               0.005215,               0.005215
                     60,                0.63652,                0.40796,                 0.9219,                0.95274,                0.80882,                0.90149,                0.48424,                      0,                    inf,                      0,              0.0051325,              0.0051325,              0.0051325
                     61,                0.59268,                 0.3854,                0.89798,                0.94962,                 0.8316,                0.92065,                0.49225,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     62,                0.61465,                 0.3924,                0.91017,                0.89986,                0.79293,                0.89985,                0.51225,                      0,                    inf,                      0,              0.0049675,              0.0049675,              0.0049675
